entity_id,state,last_changed
sensor.geschirrspuler_current_consumption,26.5,2025-09-30T10:18:36.021Z
sensor.geschirrspuler_current_consumption,26.4,2025-09-30T10:18:46.006Z
sensor.geschirrspuler_current_consumption,47.0,2025-09-30T10:18:51.013Z
sensor.geschirrspuler_current_consumption,43.5,2025-09-30T10:18:56.000Z
sensor.geschirrspuler_current_consumption,37.4,2025-09-30T10:19:01.012Z
sensor.geschirrspuler_current_consumption,51.8,2025-09-30T10:19:06.014Z
sensor.geschirrspuler_current_consumption,37.2,2025-09-30T10:19:10.999Z
sensor.geschirrspuler_current_consumption,37.1,2025-09-30T10:19:16.007Z
sensor.geschirrspuler_current_consumption,36.9,2025-09-30T10:19:21.015Z
sensor.geschirrspuler_current_consumption,28.6,2025-09-30T10:19:26.006Z
sensor.geschirrspuler_current_consumption,34.9,2025-09-30T10:19:31.011Z
sensor.geschirrspuler_current_consumption,25.4,2025-09-30T10:19:36.012Z
sensor.geschirrspuler_current_consumption,28.8,2025-09-30T10:19:41.005Z
sensor.geschirrspuler_current_consumption,22.6,2025-09-30T10:19:46.009Z
sensor.geschirrspuler_current_consumption,39.1,2025-09-30T10:19:51.017Z
sensor.geschirrspuler_current_consumption,33.5,2025-09-30T10:19:56.002Z
sensor.geschirrspuler_current_consumption,29.1,2025-09-30T10:20:01.010Z
sensor.geschirrspuler_current_consumption,32.9,2025-09-30T10:20:06.012Z
sensor.geschirrspuler_current_consumption,1588.9,2025-09-30T10:20:11.002Z
sensor.geschirrspuler_current_consumption,1584.7,2025-09-30T10:20:16.009Z
sensor.geschirrspuler_current_consumption,1584.0,2025-09-30T10:20:21.016Z
sensor.geschirrspuler_current_consumption,1582.0,2025-09-30T10:20:26.001Z
sensor.geschirrspuler_current_consumption,1580.8,2025-09-30T10:20:31.006Z
sensor.geschirrspuler_current_consumption,1578.4,2025-09-30T10:20:36.006Z
sensor.geschirrspuler_current_consumption,1577.1,2025-09-30T10:20:41.006Z
sensor.geschirrspuler_current_consumption,1572.6,2025-09-30T10:20:46.015Z
sensor.geschirrspuler_current_consumption,1585.2,2025-09-30T10:20:51.006Z
sensor.geschirrspuler_current_consumption,1583.1,2025-09-30T10:20:56.013Z
sensor.geschirrspuler_current_consumption,1582.6,2025-09-30T10:21:01.000Z
sensor.geschirrspuler_current_consumption,1580.8,2025-09-30T10:21:06.009Z
sensor.geschirrspuler_current_consumption,1579.5,2025-09-30T10:21:11.014Z
sensor.geschirrspuler_current_consumption,1576.7,2025-09-30T10:21:16.001Z
sensor.geschirrspuler_current_consumption,1574.6,2025-09-30T10:21:21.007Z
sensor.geschirrspuler_current_consumption,1573.0,2025-09-30T10:21:26.014Z
sensor.geschirrspuler_current_consumption,1572.6,2025-09-30T10:21:31.000Z
sensor.geschirrspuler_current_consumption,1572.8,2025-09-30T10:21:36.012Z
sensor.geschirrspuler_current_consumption,1572.6,2025-09-30T10:21:41.015Z
sensor.geschirrspuler_current_consumption,1574.4,2025-09-30T10:21:46.002Z
sensor.geschirrspuler_current_consumption,1561.0,2025-09-30T10:21:51.009Z
sensor.geschirrspuler_current_consumption,1559.9,2025-09-30T10:21:56.016Z
sensor.geschirrspuler_current_consumption,1559.7,2025-09-30T10:22:01.001Z
sensor.geschirrspuler_current_consumption,1564.2,2025-09-30T10:22:06.006Z
sensor.geschirrspuler_current_consumption,1564.6,2025-09-30T10:22:11.013Z
sensor.geschirrspuler_current_consumption,1565.5,2025-09-30T10:22:16.000Z
sensor.geschirrspuler_current_consumption,1566.9,2025-09-30T10:22:21.008Z
sensor.geschirrspuler_current_consumption,1567.8,2025-09-30T10:22:25.999Z
sensor.geschirrspuler_current_consumption,1567.1,2025-09-30T10:22:31.006Z
sensor.geschirrspuler_current_consumption,1568.0,2025-09-30T10:22:36.018Z
sensor.geschirrspuler_current_consumption,1567.1,2025-09-30T10:22:41.000Z
sensor.geschirrspuler_current_consumption,1567.7,2025-09-30T10:22:46.007Z
sensor.geschirrspuler_current_consumption,1567.8,2025-09-30T10:22:51.013Z
sensor.geschirrspuler_current_consumption,1568.5,2025-09-30T10:22:55.999Z
sensor.geschirrspuler_current_consumption,1567.1,2025-09-30T10:23:01.006Z
sensor.geschirrspuler_current_consumption,1582.5,2025-09-30T10:23:06.012Z
sensor.geschirrspuler_current_consumption,1582.9,2025-09-30T10:23:11.003Z
sensor.geschirrspuler_current_consumption,1583.7,2025-09-30T10:23:16.005Z
sensor.geschirrspuler_current_consumption,1583.0,2025-09-30T10:23:21.014Z
sensor.geschirrspuler_current_consumption,1583.9,2025-09-30T10:23:26.008Z
sensor.geschirrspuler_current_consumption,1584.7,2025-09-30T10:23:31.009Z
sensor.geschirrspuler_current_consumption,1585.2,2025-09-30T10:23:36.016Z
sensor.geschirrspuler_current_consumption,1584.1,2025-09-30T10:23:40.999Z
sensor.geschirrspuler_current_consumption,1584.4,2025-09-30T10:23:46.007Z
sensor.geschirrspuler_current_consumption,1583.0,2025-09-30T10:23:55.999Z
sensor.geschirrspuler_current_consumption,1582.9,2025-09-30T10:24:01.009Z
sensor.geschirrspuler_current_consumption,1568.3,2025-09-30T10:24:06.013Z
sensor.geschirrspuler_current_consumption,1564.9,2025-09-30T10:24:10.999Z
sensor.geschirrspuler_current_consumption,1564.7,2025-09-30T10:24:16.006Z
sensor.geschirrspuler_current_consumption,1568.1,2025-09-30T10:24:21.015Z
sensor.geschirrspuler_current_consumption,1567.1,2025-09-30T10:24:25.999Z
sensor.geschirrspuler_current_consumption,1568.0,2025-09-30T10:24:36.015Z
sensor.geschirrspuler_current_consumption,1567.6,2025-09-30T10:24:46.009Z
sensor.geschirrspuler_current_consumption,1568.1,2025-09-30T10:24:50.999Z
sensor.geschirrspuler_current_consumption,1569.5,2025-09-30T10:24:56.006Z
sensor.geschirrspuler_current_consumption,1571.3,2025-09-30T10:25:01.019Z
sensor.geschirrspuler_current_consumption,1570.4,2025-09-30T10:25:06.000Z
sensor.geschirrspuler_current_consumption,1572.3,2025-09-30T10:25:10.998Z
sensor.geschirrspuler_current_consumption,1575.7,2025-09-30T10:25:16.006Z
sensor.geschirrspuler_current_consumption,1587.2,2025-09-30T10:25:21.017Z
sensor.geschirrspuler_current_consumption,1587.1,2025-09-30T10:25:26.003Z
sensor.geschirrspuler_current_consumption,1586.8,2025-09-30T10:25:31.006Z
sensor.geschirrspuler_current_consumption,1585.2,2025-09-30T10:25:36.012Z
sensor.geschirrspuler_current_consumption,1586.0,2025-09-30T10:25:41.000Z
sensor.geschirrspuler_current_consumption,1584.0,2025-09-30T10:25:46.009Z
sensor.geschirrspuler_current_consumption,1585.6,2025-09-30T10:25:51.018Z
sensor.geschirrspuler_current_consumption,1585.1,2025-09-30T10:25:56.000Z
sensor.geschirrspuler_current_consumption,1586.2,2025-09-30T10:26:01.006Z
sensor.geschirrspuler_current_consumption,1586.6,2025-09-30T10:26:06.013Z
sensor.geschirrspuler_current_consumption,1586.3,2025-09-30T10:26:10.999Z
sensor.geschirrspuler_current_consumption,1586.1,2025-09-30T10:26:16.010Z
sensor.geschirrspuler_current_consumption,1573.9,2025-09-30T10:26:21.016Z
sensor.geschirrspuler_current_consumption,1569.4,2025-09-30T10:26:26.008Z
sensor.geschirrspuler_current_consumption,1570.7,2025-09-30T10:26:31.006Z
sensor.geschirrspuler_current_consumption,1569.8,2025-09-30T10:26:36.015Z
sensor.geschirrspuler_current_consumption,1574.6,2025-09-30T10:26:40.999Z
sensor.geschirrspuler_current_consumption,1574.1,2025-09-30T10:26:46.010Z
sensor.geschirrspuler_current_consumption,1573.1,2025-09-30T10:26:51.014Z
sensor.geschirrspuler_current_consumption,1572.9,2025-09-30T10:26:56.001Z
sensor.geschirrspuler_current_consumption,1571.8,2025-09-30T10:27:01.008Z
sensor.geschirrspuler_current_consumption,1573.7,2025-09-30T10:27:06.015Z
sensor.geschirrspuler_current_consumption,1572.4,2025-09-30T10:27:11.001Z
sensor.geschirrspuler_current_consumption,1572.6,2025-09-30T10:27:16.011Z
sensor.geschirrspuler_current_consumption,1574.1,2025-09-30T10:27:21.012Z
sensor.geschirrspuler_current_consumption,1573.3,2025-09-30T10:27:26.001Z
sensor.geschirrspuler_current_consumption,1572.6,2025-09-30T10:27:31.008Z
sensor.geschirrspuler_current_consumption,1589.0,2025-09-30T10:27:36.015Z
sensor.geschirrspuler_current_consumption,1590.0,2025-09-30T10:27:41.003Z
sensor.geschirrspuler_current_consumption,1589.5,2025-09-30T10:27:46.005Z
sensor.geschirrspuler_current_consumption,1589.7,2025-09-30T10:27:51.013Z
sensor.geschirrspuler_current_consumption,1589.1,2025-09-30T10:27:55.999Z
sensor.geschirrspuler_current_consumption,1588.0,2025-09-30T10:28:01.007Z
sensor.geschirrspuler_current_consumption,1587.0,2025-09-30T10:28:06.015Z
sensor.geschirrspuler_current_consumption,1586.6,2025-09-30T10:28:11.004Z
sensor.geschirrspuler_current_consumption,1587.3,2025-09-30T10:28:16.007Z
sensor.geschirrspuler_current_consumption,1586.3,2025-09-30T10:28:21.015Z
sensor.geschirrspuler_current_consumption,1587.6,2025-09-30T10:28:26.000Z
sensor.geschirrspuler_current_consumption,1587.9,2025-09-30T10:28:31.007Z
sensor.geschirrspuler_current_consumption,1576.6,2025-09-30T10:28:36.015Z
sensor.geschirrspuler_current_consumption,1570.5,2025-09-30T10:28:41.003Z
sensor.geschirrspuler_current_consumption,1569.8,2025-09-30T10:28:46.008Z
sensor.geschirrspuler_current_consumption,1575.0,2025-09-30T10:28:51.014Z
sensor.geschirrspuler_current_consumption,1574.3,2025-09-30T10:28:56.000Z
sensor.geschirrspuler_current_consumption,1574.2,2025-09-30T10:29:01.008Z
sensor.geschirrspuler_current_consumption,1574.4,2025-09-30T10:29:06.015Z
sensor.geschirrspuler_current_consumption,1572.2,2025-09-30T10:29:11.003Z
sensor.geschirrspuler_current_consumption,1572.3,2025-09-30T10:29:16.006Z
sensor.geschirrspuler_current_consumption,1571.1,2025-09-30T10:29:21.014Z
sensor.geschirrspuler_current_consumption,1570.2,2025-09-30T10:29:26.000Z
sensor.geschirrspuler_current_consumption,1570.7,2025-09-30T10:29:31.006Z
sensor.geschirrspuler_current_consumption,1572.4,2025-09-30T10:29:36.014Z
sensor.geschirrspuler_current_consumption,1574.0,2025-09-30T10:29:40.999Z
sensor.geschirrspuler_current_consumption,1573.2,2025-09-30T10:29:45.998Z
sensor.geschirrspuler_current_consumption,1588.4,2025-09-30T10:29:51.005Z
sensor.geschirrspuler_current_consumption,1589.0,2025-09-30T10:29:56.014Z
sensor.geschirrspuler_current_consumption,1588.1,2025-09-30T10:30:06.008Z
sensor.geschirrspuler_current_consumption,1586.5,2025-09-30T10:30:11.017Z
sensor.geschirrspuler_current_consumption,1585.1,2025-09-30T10:30:16.000Z
sensor.geschirrspuler_current_consumption,1586.3,2025-09-30T10:30:21.007Z
